id,name,artists,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,y,duration_min
51itp9mG8Nf1aKbEekgcxV,Fumaça e Luar,Livinho,192000,29,0.908,0.719,11,-1.701,0,0.0795,0.0004,1.53e-06,0.0376,0.567,125.033,0,3.2
5tRd1pfBxJKl4RPtk0GMOj,"Não Para, Não Para",MC Petter,162586,16,0.883,0.72,9,-1.058,1,0.124,0.0586,8.24e-05,0.708,0.408,86.689,0,2.709766666666667
1oEiWJLbqcdUjskc0E6IHf,Ela Senta Bem Gostosinho,MC Petter,166254,7,0.846,0.371,1,-4.767,1,0.547,0.326,7.79e-06,0.271,0.571,86.579,0,2.7709
7Fq0IWd06H1DgWfPhI0dVd,Popozão,MC Petter,128039,0,0.799,0.697,9,-3.935,1,0.0598,0.0332,0.000191,0.0532,0.621,180.122,0,2.133983333333333
0RTpJ2rdyYTRaZQdx9PS0l,Deixa Lenta,MC Fleshinho,123559,0,0.896,0.822,11,-3.916,0,0.14,0.114,0.0,0.0389,0.915,150.057,0,2.0593166666666667
6QFKHn9cYXtIMzswl9W6PO,Flexiona,Mc Troia,166504,39,0.897,0.628,11,-3.89,0,0.202,0.0411,0.0,0.237,0.508,150.001,0,2.7750666666666666
5BksPA7SFrnW0B4QNcHxHM,Pode Balança,Mc Troia,164440,29,0.738,0.943,1,-0.869,1,0.0518,0.0586,0.0,0.314,0.89,160.069,0,2.740666666666667
3voDDf44dmB2zKa3no2h2m,Tá Rocheda,Mc Elvis,188630,27,0.788,0.451,4,-6.058,1,0.077,0.165,0.0,0.0793,0.924,160.106,0,3.1438333333333333
3u2CDiJ1ksvvfUApfXmtau,Confesso,Mc Elvis,257214,0,0.773,0.449,5,-6.59,1,0.0592,0.121,0.0,0.122,0.867,157.969,0,4.2869
6xxxUd2HJnGDVSaE2O5IYL,Seu Zé,Mc Elvis,219491,23,0.726,0.524,9,-6.114,1,0.0626,0.106,0.0,0.316,0.872,159.914,0,3.658183333333333
2B5t2JiExquIZJZWb0hlSC,Idiota,Mc Elvis,170762,12,0.809,0.573,10,-5.97,0,0.0941,0.122,0.0,0.049,0.928,80.022,0,2.846033333333333
6cbVDUSzKj6ogYZVS8wgd4,Machucando o Coleguinha,MC Cego Abusado,139598,26,0.838,0.775,6,-3.15,1,0.0967,0.0752,1.48e-05,0.0848,0.961,80.01,0,2.3266333333333336
