id,name,artists,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,y,duration_min
2Zi27tBhXnDQTz3porgaiw,Here Without You - Acoustic Version,3 Doors Down,232013,57,0.551,0.574,10,-6.265,0,0.0263,0.0203,0.0,0.186,0.308,143.734,1,3.8668833333333335
3AA8xNhDC0MpqwkGX3EP5V,If I Ever Feel Better,Phoenix,266600,65,0.755,0.553,6,-9.449,0,0.107,0.0492,0.00607,0.0646,0.836,119.7,1,4.443333333333333
4HqU80xAozomP0XtgxAu6w,Budapest - Live from Spotify Stockholm,George Ezra,209306,42,0.678,0.291,4,-10.339,1,0.0437,0.818,6.08e-05,0.706,0.497,121.092,1,3.488433333333333
59XNy4523UcEvQfYM8fdQB,Somebody Told Me,The Killers,197160,0,0.51,0.981,10,-3.191,0,0.0901,7.76e-05,0.00142,0.111,0.723,138.039,1,3.286
7yq4Qj7cqayVTp3FF9CWbm,Riptide,Vance Joy,204280,78,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,1,3.4046666666666665
2iXdwVdzA0KrI2Q0iZNJbX,Better Together,Jack Johnson,207680,73,0.871,0.346,5,-9.481,1,0.0522,0.298,9.24e-06,0.108,0.659,110.054,1,3.461333333333333
0BgbobvykXxEvxo2HhCuvM,Banana Pancakes,Jack Johnson,191906,69,0.814,0.373,7,-8.017,1,0.116,0.602,1.7e-05,0.0931,0.632,114.548,1,3.198433333333333
1dnXuEuApvuVqQCn0v9McL,"Sitting, Waiting, Wishing",Jack Johnson,183720,65,0.766,0.547,0,-7.25,1,0.0264,0.229,1.5e-05,0.104,0.556,105.01,1,3.062
1A4WjuUXeFEVXjwgc7eVZ6,Good People,Jack Johnson,208506,62,0.721,0.586,11,-5.999,1,0.034,0.204,2.21e-05,0.0902,0.918,176.104,1,3.4751
2Z2vOukzwOgqR4dkymRSWd,Santeria,Sublime,183160,52,0.67,0.753,1,-5.058,0,0.0387,0.0208,2.74e-06,0.147,0.551,90.385,1,3.052666666666666
2qLMf6TuEC3ruGJg4SMMN6,Lucky,Jason Mraz,189613,68,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,1,3.1602166666666665
1lkvpmrCaXK8QtliFDcHBO,Bubbly,Colbie Caillat,196226,70,0.688,0.477,9,-6.684,1,0.036,0.594,0.0,0.115,0.257,127.866,1,3.270433333333333
38jy6kRlPt8z1GUS9WXeNh,93 Million Miles,Jason Mraz,216386,62,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,1,3.606433333333333
0z87ojCfgphUWZ5ZqWCxIv,Regueton Lento (Bailemos),Alex Y Fido,224006,17,0.561,0.651,4,-8.25,0,0.21,0.276,0.0,0.0963,0.393,89.882,1,3.733433333333333
6DUdDIRgLqCGq1DwkNWQTN,Borro Cassette,Maluma,207306,81,0.73,0.701,5,-5.885,0,0.106,0.132,0.0,0.151,0.785,175.95,1,3.4551
4cQIbDqCZrHknxlDUjRHZ0,Supersoaker,Kings of Leon,230226,58,0.436,0.871,9,-4.446,1,0.0384,0.00319,0.000473,0.114,0.71,138.743,1,3.8371
3rcVJVqhuuKbVppaLXrxD5,Linger,Freedom Fry,201136,54,0.572,0.285,5,-12.367,1,0.0316,0.789,0.0,0.0944,0.168,88.012,1,3.3522666666666665
3ZTCvMqkW3Hqxap4dqTTpR,Fix You,Canyon City,261666,0,0.533,0.152,2,-14.996,1,0.0302,0.79,2.46e-05,0.148,0.132,143.972,1,4.3611
11qJo8BHxYDUg6NSVZp95i,Girls Just Wanna Have Fun,The Mayries,172992,52,0.438,0.356,8,-11.448,0,0.0388,0.74,0.0,0.146,0.356,186.267,1,2.8832
55KKAV2VnlggBrVS0J666s,Use Somebody - Acoustic Version,Isabella Celander,186660,48,0.57,0.271,0,-11.334,1,0.0304,0.82,3.27e-06,0.108,0.273,125.862,1,3.111
7BRwh1bemr9rFMDeTbcy5S,Creep,Kina Grannis,234135,0,0.585,0.103,7,-12.682,1,0.0309,0.801,0.0,0.126,0.179,133.057,1,3.90225
2aXBORgLuv2czaJVyeLOl7,Get Lucky - Acoustic,Linn Brikell,188605,47,0.305,0.275,7,-10.161,0,0.0358,0.791,2.95e-06,0.098,0.137,175.102,1,3.1434166666666665
6CgNoAbFJ4Q4Id4EjtbXlC,Photograph,Boyce Avenue,260186,62,0.717,0.32,3,-8.393,1,0.0283,0.83,0.0,0.107,0.322,107.946,1,4.336433333333333
7zFHGf87xklt49KCQydyjY,Sugar - Acoustic,Tyler Ward,212654,0,0.709,0.248,9,-9.499,1,0.0294,0.826,0.0,0.132,0.504,113.024,1,3.544233333333333
2KSezpA4CZxv1RkQvA1jXE,1979,Freedom Fry,290518,37,0.53,0.259,7,-13.277,1,0.0298,0.914,0.00023,0.186,0.189,105.921,1,4.841966666666667
3q6BJcC0i7UyM8oWn6ntRQ,Rocket Man,My Morning Jacket,299826,43,0.565,0.27,3,-9.591,1,0.0302,0.534,0.0362,0.107,0.119,120.308,1,4.9971
0JSux25Te5HYMSr2D64d02,Levanta e Anda,Emicida,150439,54,0.488,0.931,9,-4.185,1,0.327,0.0907,0.0,0.446,0.823,87.33,1,2.507316666666666
0cntShbC3GmWXygfH98brk,Don't Call Me White,NOFX,153426,52,0.329,0.92,9,-8.216,1,0.0752,2.17e-05,0.000115,0.351,0.318,93.078,1,2.5571
41kg2RvdwBuIv0OPpvBS4v,Time Bomb,Rancid,144333,2,0.646,0.962,9,-4.862,1,0.0536,0.138,0.0,0.471,0.961,164.79,1,2.40555
4EchqUKQ3qAQuRNKmeIpnf,The Kids Aren't Alright,The Offspring,180160,81,0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,1,3.002666666666667
6TfBA04WJ3X1d1wXhaCFVT,"You're Gonna Go Far, Kid",The Offspring,177826,81,0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,1,2.963766666666667
2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,blink-182,167066,81,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.685,148.708,1,2.7844333333333333
6L89mwZXSOwYl76YXfX13s,Basket Case,Green Day,181533,80,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,1,3.02555
6GG73Jik4jUlQCkKg9JuGO,The Middle,Jimmy Eat World,165853,80,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,1,2.7642166666666665
23oxJmDc1V9uLUSmN2LIvx,Ocean Avenue,Yellowcard,198266,72,0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,1,3.3044333333333333
2DlHlPMa4M17kufBvI2lEN,Chop Suey!,System Of A Down,210240,83,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,1,3.504
1f3yAtsJtY87CTmM8RLnxf,Smells Like Teen Spirit,Nirvana,301920,12,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,1,5.032
0EYOdF5FCkgOJJla8DI2Md,B.Y.O.B.,System Of A Down,255466,75,0.538,0.981,1,-2.688,0,0.14,0.00662,0.0,0.219,0.711,101.414,1,4.257766666666667
288ogAZr7aL3UIrd9CgZVy,Sky Is Over,Serj Tankian,177000,0,0.549,0.888,5,-3.68,0,0.0291,0.0378,7.22e-06,0.156,0.386,104.976,1,2.95
6NTCLxzkDfhOhNX3PcKs3i,Lie Lie Lie,Serj Tankian,213293,0,0.545,0.892,5,-3.97,0,0.0336,0.044,0.00807,0.131,0.383,120.096,1,3.554883333333333
4OROzZUy6gOWN4UGQVaZMF,The Trooper - 2015 Remaster,Iron Maiden,252733,71,0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,1,4.2122166666666665
3nlGByvetDcS1uomAoiBmy,The Number of the Beast - 2015 Remaster,Iron Maiden,290586,66,0.409,0.89,0,-6.839,1,0.0558,0.088,0.107,0.0935,0.268,100.409,1,4.8431
6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades,Motörhead,166360,7,0.342,0.91,4,-7.748,1,0.0758,4.02e-05,0.000121,0.0823,0.547,140.452,1,2.772666666666667
1aZvj0eDYyJwwY0cH008xM,Harakiri,Serj Tankian,259040,0,0.505,0.96,5,-2.607,0,0.0475,0.00435,0.0,0.0997,0.525,135.013,1,4.317333333333333
6p8eFfPw3nQkf37aT3AkmK,Fear of the Dark - 2015 Remaster,Iron Maiden,438120,69,0.308,0.866,2,-5.671,0,0.059,0.000739,0.00141,0.232,0.227,109.825,1,7.302
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,208400,84,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,1,3.473333333333333
0M955bMOoilikPXwKLYpoi,I Hate Everything About You,Three Days Grace,231480,78,0.498,0.83,6,-5.157,0,0.0421,0.00461,0.0,0.139,0.453,89.342,1,3.858
31RTFPrB7wmYBhlkM2ILXG,Sugar,System Of A Down,153800,73,0.451,0.889,1,-2.693,1,0.261,0.00167,0.00215,0.258,0.586,131.073,1,2.563333333333333
3pYKJaLiixRcDFfcNhxZKK,The Metal,Tenacious D,165960,57,0.623,0.938,0,-4.161,1,0.123,0.00296,0.000852,0.48,0.308,112.022,1,2.766
5NeIONQWJ25uPylJBJiO4c,Through Glass,Stone Sour,282946,68,0.545,0.753,3,-4.618,0,0.036,0.0417,0.0,0.389,0.434,105.754,1,4.715766666666667
3V1H6liHwCDcWeqdPJabOM,Wicked Game - Acoustic; Live,Stone Sour,267253,62,0.561,0.337,8,-9.272,1,0.0284,0.644,8.79e-05,0.67,0.273,109.373,1,4.4542166666666665
5V7c3vhgVN0VXJrRfAAcp8,Nós Vamos Invadir Sua Praia,Ultraje a Rigor,328200,40,0.292,0.98,4,-5.588,0,0.225,0.000502,0.00126,0.988,0.517,167.889,1,5.47
1TC54oT0x0tDb3YUAhGrGd,Ciúme - Ao Vivo,Ultraje a Rigor,288440,49,0.307,0.815,7,-6.58,1,0.081,0.0489,2.56e-06,0.748,0.605,181.271,1,4.807333333333333
1d9FVl17Uq9LWHAFyrmIgO,Tarde De Outubro,CPM 22,139400,56,0.35,0.961,1,-3.055,0,0.0701,0.00034,0.0,0.129,0.585,179.061,1,2.3233333333333333
4OQCnf6Jx0cZzzTh7fU0TF,O Nosso Amor A Gente Inventa (Estória Romântica),Cazuza,212586,53,0.667,0.731,9,-8.556,1,0.0381,0.109,3e-06,0.235,0.808,123.593,1,3.5431
3ZRWcArefd1sfpdw5icCM7,Exagerado,Cazuza,222200,0,0.669,0.581,7,-8.786,1,0.0308,0.104,0.17,0.209,0.719,136.443,1,3.703333333333333
3KYlOzxN5xO7eEauO1VF06,Velha Infancia - 2004 Digital Remaster;,Tribalistas,250453,0,0.361,0.596,6,-8.152,0,0.0375,0.493,0.000138,0.162,0.574,84.847,1,4.174216666666666
76yjNTMsef12pt2OPmRW0U,Me lambe,Raimundos,196666,58,0.704,0.903,0,-4.885,1,0.195,0.00149,0.0426,0.0497,0.592,91.22,1,3.2777666666666665
3bQmU3UGvZMsYZ13ffNyVf,Você Não Soube Me Amar,Blitz,201200,56,0.698,0.68,0,-11.403,1,0.152,0.295,0.0,0.335,0.826,134.783,1,3.353333333333333
6taG2RmxHoHrkAgAdoloPr,Borracho y Loco (Lamento Boliviano) - Ao Vivo,Vera Loca,311053,0,0.493,0.907,4,-6.062,0,0.0611,0.635,2.86e-05,0.903,0.743,126.44,1,5.184216666666667
4a95GqfQBhSYFzF23JB2eC,Infinita Highway - Ao Vivo,Engenheiros Do Hawaii,258586,0,0.633,0.881,4,-6.615,1,0.04,0.248,0.0,0.966,0.688,140.161,1,4.3097666666666665
7nedxv1LKO4fm5ZrDG3GRO,A Fórmula do Amor (feat. Kid Abelha) - Remasterizado 2013,Leo Jaime,209466,51,0.612,0.939,7,-4.898,1,0.0971,0.607,2.63e-05,0.345,0.831,160.438,1,3.4911
4VqPOruhp5EdPBeR92t6lQ,Uprising,Muse,304840,74,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,1,5.080666666666667
1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,Blur,121160,78,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,1,2.019333333333333
7kzKAuUzOITUauHAhoMoxA,Last Nite,The Strokes,193506,74,0.624,0.91,0,-5.703,1,0.0297,0.0285,0.000198,0.0789,0.767,104.042,1,3.2251
3jJZVeExYzVYiV6Y9Fl3DX,Plush,Stone Temple Pilots,310346,64,0.423,0.954,7,-3.157,0,0.047,0.0021,0.0,0.177,0.5,144.553,1,5.172433333333333
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters,250546,81,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,1,4.175766666666667
6b2oQwSGFkzsMtQruIWm2p,Creep,Radiohead,238640,24,0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,1,3.977333333333333
5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,Oasis,258773,78,0.376,0.896,2,-4.065,1,0.0395,0.000452,0.0,0.194,0.472,174.379,1,4.312883333333334
59WN2psjkt1tyaxjspN8fp,Killing In The Name,Rage Against The Machine,313573,78,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,1,5.226216666666667
73fzhVcs7n1wZz84eoE2vs,Drive,Incubus,232533,0,0.651,0.793,4,-7.312,0,0.0338,0.0538,0.01,0.137,0.682,90.573,1,3.87555
6y20BV5L33R8YXM0YuI38N,No One Knows,Queens of the Stone Age,278746,69,0.509,0.584,0,-4.907,1,0.057,0.0368,9.96e-05,0.384,0.685,170.411,1,4.645766666666667
1AfYo6cKm3yHsJHdmNoGO1,Interstate Love Song,Stone Temple Pilots,193613,1,0.214,0.947,4,-5.053,1,0.0507,0.000552,0.00352,0.238,0.483,170.616,1,3.2268833333333333
3lPr8ghNDBLc2uZovNyLs9,Supermassive Black Hole,Muse,212439,77,0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120.0,1,3.54065
53eJFr4Mfbw5PXJ01K6cFw,Daughter - Remastered,Pearl Jam,234333,66,0.615,0.702,7,-9.686,1,0.0278,0.00746,0.00431,0.0608,0.734,96.987,1,3.90555
6gZVQvQZOFpzIy3HblJ20F,Man in the Box,Alice In Chains,285200,74,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392,1,4.753333333333333
5G1sTBGbZT5o4PNRc75RKI,Lonely Boy,The Black Keys,193653,74,0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3,1,3.22755
31AOj9sFz2gM0O3hMARRBx,Losing My Religion,R.E.M.,268426,82,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,1,4.473766666666666
2MLHyLy5z5l5YRp7momlgw,Island In The Sun,Weezer,200306,77,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.622,1,3.338433333333333
5sFDReWLrZHLFZFjHsjUTS,Would? (2022 Remaster),Alice In Chains,206773,72,0.297,0.842,6,-7.457,1,0.0488,0.000286,9.1e-06,0.0848,0.586,100.127,1,3.4462166666666665
5DiXcVovI0FcY2s0icWWUu,Mr. Jones,Counting Crows,272293,77,0.578,0.817,0,-6.541,1,0.0363,0.183,2.85e-06,0.285,0.734,141.621,1,4.538216666666667
2IZZqH4K02UIYg5EohpNHF,Zombie,The Cranberries,306426,5,0.307,0.635,7,-8.957,1,0.0339,0.0154,0.00483,0.366,0.304,166.973,1,5.1071
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,3 Doors Down,233933,78,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.005,1,3.8988833333333335
2VSbEXqs6NbNiZSTcHlIDR,My Sacrifice,Creed,294600,73,0.32,0.88,2,-6.035,1,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,1,4.91
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Gorillaz,222640,82,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,1,3.7106666666666666
7BHPGtpuuWWsvE7cCaMuEU,Naive,The Kooks,203506,74,0.394,0.808,8,-6.209,0,0.0853,0.0759,0.0,0.149,0.736,100.649,1,3.391766666666667
3tRv4ZYZimrL27flnjgeR6,Every You Every Me,Placebo,213800,2,0.478,0.923,10,-7.547,1,0.0569,2.7e-05,0.719,0.325,0.165,133.134,1,3.563333333333333
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,289533,87,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,1,4.82555
7H8zey5My6uNdD2TxeCb9F,Don't Speak,No Doubt,263000,3,0.522,0.707,5,-7.113,0,0.0354,0.24,2.04e-05,0.156,0.572,76.05,1,4.383333333333334
0vRc3zLxBbArchzJGVXVCm,Todo Mundo Gosta de Mim,Ultraje a Rigor,151266,17,0.591,0.925,4,-5.247,0,0.0507,0.000419,1.23e-05,0.406,0.883,135.91,1,2.5211
2oa4GE56fUGoEhT02hKxRs,Ninguém regula a América,O Rappa,257640,27,0.362,0.899,0,-6.094,1,0.293,0.0221,0.000797,0.159,0.449,157.196,1,4.294
3g5FrnRdbmDQyWNiDIprts,All Star - Ao Vivo,Nando Reis,233613,60,0.512,0.391,9,-10.4,1,0.0492,0.889,2.63e-06,0.714,0.277,138.094,1,3.89355
1uCM2mchqMjPrjKhfgsUWa,O Chamado do Bar,Matanza,125600,36,0.431,0.983,11,-3.97,0,0.0704,4.82e-05,5.9e-05,0.165,0.6,121.971,1,2.0933333333333333
2R0478PhcwKMYLTiJHAuTH,Segredos,Frejat,233533,63,0.581,0.731,7,-5.189,1,0.0289,0.192,0.0,0.405,0.579,127.582,1,3.892216666666666
4KucEYbAdO9tUadBV68mGB,Os Outros - Ao Vivo,Kid Abelha,128426,47,0.381,0.267,7,-19.086,1,0.0687,0.979,0.00697,0.776,0.623,111.879,1,2.140433333333333
31GNpPGlEuQxt88tyWRnhe,Strani Amori,Renato Russo,250320,46,0.551,0.476,1,-8.094,1,0.0266,0.163,3.36e-05,0.108,0.217,78.887,1,4.172
2rHIvPFa91dJ7ZbcqtMtUs,All Star,Cássia Eller,199173,49,0.19,0.352,9,-10.434,1,0.0308,0.537,0.0,0.165,0.174,49.286,1,3.31955
0o7fuLnsvwiaWhDWjHvJor,Lanterna dos Afogados - Ao Vivo,Maria Gadú,217346,47,0.359,0.608,7,-8.902,1,0.0335,0.671,0.00143,0.993,0.273,102.221,1,3.622433333333333
0PnXjhvlMFE8FNbvp76eyk,Scrivimi,Renato Russo,237666,37,0.612,0.47,4,-9.136,1,0.0344,0.367,0.000629,0.0932,0.333,153.839,1,3.9611
3y8vOmrtJpdyQ3PkaHQRKm,Remédios Demais,Matanza,144266,43,0.359,0.991,2,-3.688,1,0.121,0.000762,2.23e-05,0.0837,0.433,181.231,1,2.404433333333333
6CMch6a8mtMJW9eUSDyq2C,Joker & The Thief - Final Hour Mix,Wolfmother,151058,0,0.491,0.592,7,-8.804,0,0.0414,0.000236,0.0511,0.324,0.21,84.981,1,2.5176333333333334
3KRJUa3Z1Zfupr7Zs6JByx,Entertainment,Phoenix,220240,0,0.392,0.723,8,-3.973,1,0.0475,0.00151,0.0254,0.332,0.498,75.305,1,3.6706666666666665
6LhN47wHHsSzlbVzsXe7cY,California Waiting,Kings of Leon,208693,48,0.423,0.808,7,-4.808,1,0.0563,0.0159,9.91e-05,0.117,0.616,159.55,1,3.4782166666666665
3fMoeGj4mDusrmYOOF60aC,I Predict a Riot,Kaiser Chiefs,234773,0,0.392,0.979,8,-3.942,1,0.0762,0.0163,0.0,0.106,0.357,158.882,1,3.912883333333333
3dOAXUx7I1qnzWzxdnsyB8,Lonely Boy,The Black Keys,193653,49,0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3,1,3.22755
2un2p1mSIu4Tvt8pSuO9kw,I Sat By The Ocean (Live Acoustic),Queens of the Stone Age,275571,0,0.585,0.521,1,-5.891,1,0.0275,0.288,0.0,0.697,0.569,106.36,1,4.59285
1yjr0GeoqGPejLg5P9g8Qe,Fell In Love With a Girl,The White Stripes,110093,0,0.144,0.978,0,-1.644,1,0.197,0.673,0.000141,0.816,0.367,191.787,1,1.8348833333333332
5c5a2Ptu8eyIpljhQHjIqk,Ain't No Rest For The Wicked - Original Version,Cage The Elephant,175493,0,0.635,0.914,0,-5.631,1,0.111,0.0597,0.0,0.601,0.922,156.014,1,2.9248833333333333
3qaSqrrevBrb84xl5JlptU,Dakota,Stereophonics,297426,68,0.506,0.93,4,-3.499,1,0.0675,0.129,0.00682,0.0931,0.305,146.994,1,4.9571
5xoUgPXbMNUmoHU0Enwtwq,She Moves In Her Own Way,The Kooks,169306,71,0.403,0.803,7,-5.363,1,0.0626,0.239,0.0,0.103,0.814,153.314,1,2.8217666666666665
305WCRhhS10XUcH6AEwZk6,Are You Gonna Be My Girl,Jet,213800,75,0.606,0.957,2,-3.404,1,0.0814,0.00117,0.000295,0.14,0.603,105.105,1,3.563333333333333
2DFi8rwHcVkTTgu7PULhtI,My Type,Saint Motel,206393,66,0.596,0.897,10,-2.94,1,0.0462,0.0641,5.24e-05,0.0628,0.578,118.0,1,3.4398833333333334
