id,name,artists
5V7c3vhgVN0VXJrRfAAcp8,Nós Vamos Invadir Sua Praia,Ultraje a Rigor
1TC54oT0x0tDb3YUAhGrGd,Ciúme - Ao Vivo,Ultraje a Rigor
1d9FVl17Uq9LWHAFyrmIgO,Tarde De Outubro,CPM 22
4OQCnf6Jx0cZzzTh7fU0TF,O Nosso Amor A Gente Inventa (Estória Romântica),Cazuza
3ZRWcArefd1sfpdw5icCM7,Exagerado,Cazuza
3KYlOzxN5xO7eEauO1VF06,Velha Infancia - 2004 Digital Remaster;,Tribalistas
76yjNTMsef12pt2OPmRW0U,Me lambe,Raimundos
3bQmU3UGvZMsYZ13ffNyVf,Você Não Soube Me Amar,Blitz
6taG2RmxHoHrkAgAdoloPr,Borracho y Loco (Lamento Boliviano) - Ao Vivo,Vera Loca
4a95GqfQBhSYFzF23JB2eC,Infinita Highway - Ao Vivo,Engenheiros Do Hawaii
7nedxv1LKO4fm5ZrDG3GRO,A Fórmula do Amor (feat. Kid Abelha) - Remasterizado 2013,Leo Jaime
4VqPOruhp5EdPBeR92t6lQ,Uprising,Muse
1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,Blur
7kzKAuUzOITUauHAhoMoxA,Last Nite,The Strokes
3jJZVeExYzVYiV6Y9Fl3DX,Plush,Stone Temple Pilots
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters
6b2oQwSGFkzsMtQruIWm2p,Creep,Radiohead
5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,Oasis
59WN2psjkt1tyaxjspN8fp,Killing In The Name,Rage Against The Machine
73fzhVcs7n1wZz84eoE2vs,Drive,Incubus
6y20BV5L33R8YXM0YuI38N,No One Knows,Queens of the Stone Age
1AfYo6cKm3yHsJHdmNoGO1,Interstate Love Song,Stone Temple Pilots
3lPr8ghNDBLc2uZovNyLs9,Supermassive Black Hole,Muse
53eJFr4Mfbw5PXJ01K6cFw,Daughter - Remastered,Pearl Jam
6gZVQvQZOFpzIy3HblJ20F,Man in the Box,Alice In Chains
5G1sTBGbZT5o4PNRc75RKI,Lonely Boy,The Black Keys
31AOj9sFz2gM0O3hMARRBx,Losing My Religion,R.E.M.
2MLHyLy5z5l5YRp7momlgw,Island In The Sun,Weezer
5sFDReWLrZHLFZFjHsjUTS,Would? (2022 Remaster),Alice In Chains
5DiXcVovI0FcY2s0icWWUu,Mr. Jones,Counting Crows
2IZZqH4K02UIYg5EohpNHF,Zombie,The Cranberries
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,3 Doors Down
2VSbEXqs6NbNiZSTcHlIDR,My Sacrifice,Creed
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Gorillaz
7BHPGtpuuWWsvE7cCaMuEU,Naive,The Kooks
3tRv4ZYZimrL27flnjgeR6,Every You Every Me,Placebo
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls
7H8zey5My6uNdD2TxeCb9F,Don't Speak,No Doubt
0vRc3zLxBbArchzJGVXVCm,Todo Mundo Gosta de Mim,Ultraje a Rigor
2oa4GE56fUGoEhT02hKxRs,Ninguém regula a América,O Rappa
3g5FrnRdbmDQyWNiDIprts,All Star - Ao Vivo,Nando Reis
1uCM2mchqMjPrjKhfgsUWa,O Chamado do Bar,Matanza
2R0478PhcwKMYLTiJHAuTH,Segredos,Frejat
4KucEYbAdO9tUadBV68mGB,Os Outros - Ao Vivo,Kid Abelha
31GNpPGlEuQxt88tyWRnhe,Strani Amori,Renato Russo
2rHIvPFa91dJ7ZbcqtMtUs,All Star,Cássia Eller
0o7fuLnsvwiaWhDWjHvJor,Lanterna dos Afogados - Ao Vivo,Maria Gadú
0PnXjhvlMFE8FNbvp76eyk,Scrivimi,Renato Russo
3y8vOmrtJpdyQ3PkaHQRKm,Remédios Demais,Matanza
6CMch6a8mtMJW9eUSDyq2C,Joker & The Thief - Final Hour Mix,Wolfmother
3KRJUa3Z1Zfupr7Zs6JByx,Entertainment,Phoenix
6LhN47wHHsSzlbVzsXe7cY,California Waiting,Kings of Leon
3fMoeGj4mDusrmYOOF60aC,I Predict a Riot,Kaiser Chiefs
3dOAXUx7I1qnzWzxdnsyB8,Lonely Boy,The Black Keys
2un2p1mSIu4Tvt8pSuO9kw,I Sat By The Ocean (Live Acoustic),Queens of the Stone Age
1yjr0GeoqGPejLg5P9g8Qe,Fell In Love With a Girl,The White Stripes
5c5a2Ptu8eyIpljhQHjIqk,Ain't No Rest For The Wicked - Original Version,Cage The Elephant
3qaSqrrevBrb84xl5JlptU,Dakota,Stereophonics
5xoUgPXbMNUmoHU0Enwtwq,She Moves In Her Own Way,The Kooks
305WCRhhS10XUcH6AEwZk6,Are You Gonna Be My Girl,Jet
2DFi8rwHcVkTTgu7PULhtI,My Type,Saint Motel
7IdfMBufDn3yf2JhS3a5w0,Everyday I Love You Less and Less,Kaiser Chiefs
1IWom0fqK0dJKITk1H95BB,Go,The Black Keys
71KtwiEpzcn9WxwlaS7ZJY,Enjoy the Silence - cover version,Lacuna Coil
66PgT7clBWAuQlMqoUL0YU,Get Lucky,Halestorm
5rpRzNcJZqKQXk9PIjreB6,Hurt,Johnny Cash
3C65zQ69c8RMiJ3wqB1ogp,Beat It - Studio Version,Fall Out Boy
0qgiFuYhYuwtFXEwYakddE,I Will Survive,CAKE
6q1qACcezH6eH77Xljh5QV,I Need A Dollar,Aloe Blacc
1vcxF91pWs9uNwDROuiCPB,Savior,Rise Against
1Cj2vqUwlJVG27gJrun92y,The Sound of Silence,Disturbed
1Sq5AdWdZnBOivrBPrPeTF,Torn,Hands Like Houses
3zZQg2DLezm194cTeGQuOD,Faith,Limp Bizkit
2U0nXVgU5FcLTFtPbkcv1v,Dream On,Blacktop Mojo
28KYBZXnvRk560ty8mdVIQ,Run,Foo Fighters
5PK1JCSdr34gWgzYHgt3Jq,Feeling Good,Muse
4DDD2P6dJurAgk3IYWqK3p,How Deep Is Your Love,the bird and the bee
4PgJ0NUYaDDh659TW5mWBK,The Wolf,Mumford & Sons
0EUUDOsagEyFO0iVUlOqeS,Take On Me - Grey's Anatomy Version,Aqualung
5NLuC70kZQv8q34QyQa1DP,Fight For Your Right,Beastie Boys
3fBuhWRaAlkXOUFFJL0Mag,Whole Lotta Love,Santana
7JuD5r43XpRLSrUBRBQ7Dy,Highway Tune,Greta Van Fleet
7txxAtOMwLLnQTpKeBL6bp,Mother,Danzig
6UyPTgKXxsFeQExGml9x21,Take On Me - MTV Unplugged / Edit,a-ha
5UMD1Iz7yyVK8Q5FLsVt3q,Walk On Water,Thirty Seconds To Mars
2ihCaVdNZmnHZWt0fvAM7B,Little Talks,Of Monsters and Men
2C4ARHS1GUDDdaIpl7tAay,May 16,Lagwagon
3asFGFY3uLjMDmML1p0tYm,Savior,Rise Against
22klU94r0NFtx4cPO8KqHk,No Cigar,Millencolin
2SsFjFGToi1o8TaA5EnYd9,May 16,Lagwagon
2FKAGYMJqOP79Rys9EWzy1,Chão de Giz - Ao Vivo,Fagner
2TnJd3aCJcRcLylI44ms9f,Espatódea,Nando Reis
6D7UJO8ZPDWujC3tUeT7U0,Sinônimos (Ao Vivo),Zé Ramalho
2NrSTMKBB6X4cMk7AUmpLA,Grand' Hotel - Ao Vivo,Kid Abelha
3KK3nLgrRdycpnYxPDVfMV,Fica,ANAVITÓRIA
0gGjX0aUg7OaUSAhi1CmDk,Passarinhos,Emicida
0YBq701BXkMaK6V5UyvOpT,Oração,A Banda Mais Bonita da Cidade
17dS7mrtNwH05RFjgMjLFi,Medo Bobo,Rubel
5yyRH93h4Pm6tXXYTxt7ea,The Blower's Daughter,Damien Rice
75rAjnPV6h0RgSORx2dUPi,Injection,Rise Against
5MYsvAONqcsIVOwu2HTQ3p,Faith,Limp Bizkit
1X4Ntw6Lbaa1ACgilCqMpr,Alive - Chris Lord-Alge Mix,P.O.D.
6gCVA6ja6g0foIsWv0RuSZ,ATWA,System Of A Down
6VzV6RI7641o57TuqfGRpj,Psycho,System Of A Down
7nnWIPM5hwE3DaUBkvOIpy,Drive,Incubus
0NsUvQVaWzxu1Sb8ou6sLv,Ride,The Vines
5vQgBMIJrOrXvp3vcJt97o,Feels Good,Hard-Fi
1mvyqSb1tOvtVP1qfWEyPa,1901,Phoenix
2nO1DYEg1X5GHi8SSuNJQj,Wait for Me,Kings of Leon
383QXk8nb2YrARMUwDdjQS,Psycho,Muse
7Hr1Ignop7cymbE3FbOtXa,So Far Away,Avenged Sevenfold
03auri1kCcQxFDvU3yoD3E,Rocket Man,My Morning Jacket
2YSbHu9XF4bNYWt3MnIhgE,Bohemian Rhapsody,Panic! At The Disco
5Dd73y1EtpXoNjTPqWeDes,Nova Era - Live,ANGRA
0r1tJIrnmir1oqHB0qqXug,Rebirth - Live,ANGRA
3wTkmMBp63kRVlspx7rlyK,Unfinished Allegro / Carry On - Live,ANGRA
4ZIuxqhiTgJSyQqC7u2HiR,Reaching Horizons - Live,ANGRA
7hm5EDryKnoLPagfy29N71,Late Redemption - Live,ANGRA
1Fhfb6YWSQryGMeRgB8VxW,Time - Live,ANGRA
6d6xrgiKZVwJbB4zozfFHL,Lisbon - Live,ANGRA
1ZyQbDA6OzX2VRtdKo6JiV,Waiting Silence - Live,ANGRA
3JL3OgnOvNM4C8aF84jbtm,Nothing to Say - Live,ANGRA
2z7D7kbpRcTvEdT71tdiNQ,May 16 - Acoustic,Lagwagon
62jFdkIOHQ9khEJ8f6RENw,Cigana,Raça Negra
3ZJaonagMQ1M8riar5hYyZ,Extrapolei,Raça Negra
3oh6a6GbiIiIdSWMQNywKB,Pensando Em Você,Raça Negra
5pfSkAE39unuV0H9P5i3L3,Ciúme de Você,Raça Negra
5b7PX1tG1RQ9msIRtXHalE,Lobo Hombre en París,The Mills
4SdM8S3g7MZjEnbtU6eyXP,Cool Kids,Screeching Weasel
68icDGMEfwL4d53Vq4FdZf,Gentle Change - Live,ANGRA
3lWZOwLKQ9RP0GQcQ6Sdz9,Bring The Noise,Anthrax
47FyQCd3TYLrZ9TU6MPaWK,Ace Of Spades,Motörhead
40prrJvM3P7xOg393SU4Hy,Blood Brothers,Papa Roach
1cqbg5t3uyJGW07gPJM0gF,Bitchcraft,Drake Bell
1xShPgQbOUa98avWJQFDBY,Personal Jesus - Original Single Version,Depeche Mode
5D6JhQtSCXL3JHEw8u6zwQ,Heroes (We Could Be) [feat. Landon Austin],Megan Davies
6hqIXyo6GxydAnoI8XeIrV,Rusty Cage - Remastered 2016,Soundgarden
4qJq5V3Ca2X615wxNV0QWB,Hey Ya! - Acoustic,Maygen Lacey
7ywppIqyGunn7tJnDdDj8W,"The Good, the Bad and the Ugly (From ""The Good, the Bad and the Ugly"")",Ennio Morricone
1SJH6HEe9A6aM2hV1Yq6is,Pompeii - Live From Capitol Studios/2013,Bastille
4E2K9cfDrN9OGCd4LgFxeL,Lá Vem O Alemão,Mamonas Assassinas
61YkugkHrDOXI0Yk1SaiUg,Sábado De Sol,Mamonas Assassinas
43QlNorMWn7KAfBnMOTmLn,Debil Metal,Mamonas Assassinas
6cuLsMmHlR08BdoWAIwYVh,Bois Don't Cry,Mamonas Assassinas
1eDBpkZgY7p9OBVodcrX9n,Robocop Gay,Mamonas Assassinas
4pR17ajjeY20Iu9FpKLBND,Uma Arlinda Mulher,Mamonas Assassinas
5L3B1dAZH2Fz1W7DT11JRG,Cabeça De Bagre II / Sample: Baby Elephant Walk (Instrumental),Mamonas Assassinas
7xoHOdi16mVPcB0Fd0hRyk,Jumento Celestino,Mamonas Assassinas
16pWLmuKCxQnZSzvHXighL,Mundo Animal,Mamonas Assassinas
7EMn7sbRTu4b4f2Cuc0UKC,Sabão Cra-Cra (The Mad Ku-Ku),Mamonas Assassinas
1A4WM88OM1UWszmxege3ye,Chopis Centis,Mamonas Assassinas
2XGRcNVv7uJozHCRLl7SG8,Vira-Vira,Mamonas Assassinas
0TXRO7qVCw0UOSkCPxWvUM,1406,Mamonas Assassinas
5V3mdRI2yQxbSsJGDPc5lD,Chop Suey!,System Of A Down
4E1fYOJPFWMRBIltLtxeGQ,Chic 'N' Stu,System Of A Down
39iyPZTQEy2VKXkT6FfnhA,F**k The System,System Of A Down
1ByE7lUw6wWMTbCb3woHdK,Know,System Of A Down
3LrBpLjDs4a1Vhh8q2P3F7,Mr. Jack,System Of A Down
7phMc88qiwpKzOAIiR3xIU,Suggestions,System Of A Down
6Jj1Bb2s0gAOhH4yCGjDvh,Roulette,System Of A Down
5Q7m1Km199HHMB926xxbrs,War?,System Of A Down
4mj2UMyJTBTaO7pffAK29j,Holy Mountains,System Of A Down
6y2DHyCYf6azhUfXmnuH6w,Question!,System Of A Down
1LfSbPH1QCPxce41b9mmYF,Psycho,System Of A Down
